date,geocodigo,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressao_min,pressao_med,pressao_max,umid_min,umid_med,umid_max
2017-01-01,1302603,23.6111,25.3502,27.7248,0.1231,0.5659,1.3036,4.5273,0.996,0.9983,1.0013,79.6839,90.0431,99.0368
2017-01-02,1302603,24.0199,26.1471,29.4771,0.0,0.2304,1.6464,1.8431,0.9945,0.9979,1.0004,72.0835,87.2796,97.393
2017-01-03,1302603,23.1482,25.8223,29.4092,0.014,0.9063,3.2519,7.2501,0.9935,0.9974,0.9997,67.4282,84.7726,93.5927
2017-01-04,1302603,24.472,26.436,28.7671,0.0,0.2244,0.5448,1.795,0.9929,0.9965,0.9996,73.6756,84.6681,93.5752
2017-01-05,1302603,24.0013,26.6296,30.2719,0.0022,0.3966,1.6309,3.1725,0.9935,0.9962,0.999,67.6898,83.8311,93.744
2017-01-06,1302603,24.2781,27.3963,32.0185,0.0045,0.2539,0.5767,2.0315,0.9929,0.9962,0.9985,64.7347,83.4112,94.4695
2017-01-07,1302603,24.4222,27.3853,30.0686,0.0012,0.8388,2.5245,6.7106,0.9956,0.9976,1.0002,72.4962,84.726,97.0983
2017-01-08,1302603,24.7001,26.2436,29.1047,0.0014,1.2999,4.9126,10.3992,0.9963,0.9981,1.0006,77.6949,87.0804,92.6662
2017-01-09,1302603,23.8587,26.6111,30.5959,0.0263,0.3359,0.8507,2.6869,0.9939,0.9977,0.9999,69.2662,85.0086,95.0236
2017-01-10,1302603,24.3884,27.0849,30.7404,0.0007,0.075,0.3315,0.6004,0.9927,0.9958,0.998,66.5867,83.2968,94.8917
2017-01-11,1302603,24.8887,26.5599,29.2889,0.0005,0.5236,2.6451,4.1891,0.9932,0.9959,0.998,70.8677,85.0886,94.608
2017-01-12,1302603,24.2866,25.756,28.9929,0.0273,0.705,2.8314,5.6397,0.9951,0.997,0.9996,73.7432,87.0564,93.3478
2017-01-13,1302603,23.547,24.5211,25.1181,0.0918,0.4667,1.069,3.7332,0.996,0.9982,1.001,85.6609,90.8471,93.177
2017-01-14,1302603,23.1003,25.3173,28.9289,0.0023,0.2165,1.0007,1.7323,0.9938,0.9972,0.9994,75.4905,88.7855,98.0962
