date,geocodigo,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressao_min,pressao_med,pressao_max,umid_min,umid_med,umid_max
2004-01-01,1302603,24.7052,26.7748,30.5519,0.0,0.7406,3.0196,5.9251,0.9951,0.998,1.0012,75.0331,87.1228,94.9243
2004-01-02,1302603,24.585,26.8201,30.1501,0.0212,0.7749,3.479,6.1993,0.9937,0.9971,0.999,74.2346,86.2345,95.9302
2004-01-03,1302603,24.2967,26.216,28.7951,0.0028,0.541,1.0341,4.3277,0.9933,0.9962,0.9981,80.7129,89.0086,93.7411
2004-01-04,1302603,24.4803,26.0561,28.5809,0.0006,0.3706,1.8163,2.9649,0.9925,0.9951,0.997,76.6341,88.7608,94.3893
2004-01-05,1302603,24.1931,25.6888,28.6974,0.0647,0.8415,2.1096,6.7318,0.9938,0.9955,0.9973,80.777,90.8974,94.9595
2004-01-06,1302603,24.7316,26.2201,28.836,0.0228,0.9221,3.6606,7.3766,0.9938,0.9959,0.9979,80.5783,89.5576,96.0178
2004-01-07,1302603,24.5952,25.7902,28.0914,0.0617,0.522,1.8098,4.1757,0.9942,0.9969,0.9989,79.8088,89.8694,94.7613
2004-01-08,1302603,23.9611,26.4302,31.1852,0.0004,0.4503,2.0244,3.6023,0.9941,0.9968,0.9989,72.3284,88.281,97.611
2004-01-09,1302603,24.9973,26.3938,28.3817,0.2129,1.2755,2.5944,10.2041,0.9937,0.9965,0.9986,82.373,88.6162,94.8911
2004-01-10,1302603,24.9614,26.5101,29.4938,0.0038,0.4401,1.427,3.5205,0.9934,0.996,0.998,74.9429,88.2709,94.7779
2004-01-11,1302603,24.3915,26.8669,29.8512,0.0022,0.2265,0.9538,1.8119,0.9943,0.9967,0.9989,70.1738,87.1578,96.2681
2004-01-12,1302603,25.1073,27.451,30.491,0.0,0.4679,2.2979,3.7433,0.9956,0.9976,0.9999,73.3719,87.2565,96.1244
2004-01-13,1302603,24.9219,26.3104,27.4998,0.0024,0.5101,1.5913,4.0811,0.9951,0.9976,0.9998,85.794,90.5872,96.1679
2004-01-14,1302603,24.5944,27.2827,31.5926,0.0,0.0419,0.0998,0.3352,0.9927,0.9963,0.9987,70.8473,86.8428,96.6097
2004-01-15,1302603,25.9332,28.8582,32.4573,0.0,0.0789,0.3939,0.6309,0.9919,0.9948,0.9968,64.7578,80.1502,92.1607
2004-01-16,1302603,25.5918,26.9869,28.8431,0.0021,0.3877,1.1268,3.1014,0.9938,0.9956,0.9984,82.9498,88.358,92.0625
2004-01-17,1302603,24.6086,26.3933,29.6156,0.0,0.1474,0.8531,1.1793,0.9954,0.9973,0.9995,75.7648,88.4852,97.0733
2004-01-18,1302603,24.2563,26.9217,30.6978,0.0,0.0969,0.3365,0.775,0.9931,0.997,0.9992,67.236,85.3058,96.3406
2004-01-19,1302603,23.8647,26.9926,30.2003,0.0019,0.4556,1.8563,3.645,0.9939,0.9963,0.9978,69.6205,83.9911,95.6541
2004-01-20,1302603,25.368,27.8759,31.5199,0.0,0.0399,0.244,0.3192,0.9931,0.9958,0.998,69.5268,84.4929,96.2065
2004-01-21,1302603,26.099,29.0715,32.9935,0.0,0.0008,0.0063,0.0068,0.9921,0.9954,0.9977,58.6227,77.9902,93.786
2004-01-22,1302603,26.5977,29.0411,33.4083,0.0,0.097,0.7089,0.7762,0.9929,0.9952,0.9972,56.4834,76.9864,90.1054
2004-01-23,1302603,24.5964,27.1055,30.472,0.0,0.5272,3.6993,4.2177,0.9942,0.9959,0.9988,73.9247,85.8538,95.7981
2004-01-24,1302603,24.6457,27.0926,31.1814,0.0,0.5685,1.7379,4.5483,0.9945,0.9972,0.9992,69.2757,84.8405,95.5309
2004-01-25,1302603,24.7345,27.8323,32.2803,0.0,0.0104,0.048,0.0831,0.9934,0.9962,0.9979,62.5124,81.3747,96.311
2004-01-26,1302603,26.3252,28.299,30.7384,0.0,0.4392,3.2758,3.5137,0.9946,0.9966,0.9991,71.5514,82.5376,94.6126
2004-01-27,1302603,25.8556,28.0145,31.6089,0.0,0.0359,0.2473,0.2871,0.9945,0.997,0.9987,64.6452,83.8005,96.617
2004-01-28,1302603,25.9419,27.2183,28.9161,0.0003,0.2883,1.0362,2.3066,0.9954,0.9975,1.0,77.2476,86.0089,94.8498
2004-01-29,1302603,25.4329,27.2212,30.8543,0.0034,0.174,0.9447,1.3924,0.9941,0.9968,0.9987,63.9314,84.1877,95.179
2004-01-30,1302603,25.2149,26.7366,29.7247,0.0113,0.1973,0.7392,1.5787,0.9942,0.9964,0.9987,75.7755,86.8508,93.8219
2004-01-31,1302603,24.6403,27.4659,32.2105,0.0,0.0211,0.078,0.1686,0.9931,0.9965,0.9983,64.3483,82.685,93.6508
2004-02-01,1302603,26.1172,28.0312,29.9426,0.0,0.8967,3.7482,7.1738,0.9948,0.9973,0.9998,75.5704,82.2459,87.633
2004-02-02,1302603,25.4293,27.0208,29.4244,0.0001,0.2722,1.3662,2.1778,0.9931,0.9969,0.9992,76.4988,86.3315,94.052
2004-02-03,1302603,24.9011,26.6523,28.9675,0.045,0.6425,2.3623,5.1404,0.9928,0.9962,0.9987,76.1973,87.5199,94.7422
2004-02-04,1302603,25.4166,26.3756,28.5091,0.0132,0.7583,3.6727,6.0667,0.9944,0.9965,0.9992,81.6587,89.931,94.132
2004-02-05,1302603,23.8606,26.1172,29.2596,0.0007,0.4002,2.022,3.2015,0.9941,0.9973,0.9995,72.0511,85.0631,93.4806
2004-02-06,1302603,24.3059,27.5541,32.2258,0.0,0.2896,1.811,2.3166,0.9933,0.9967,0.9988,62.7052,82.4469,94.4191
2004-02-07,1302603,24.7739,26.894,29.2944,0.0,0.0558,0.3643,0.4465,0.994,0.9966,0.9992,70.0859,83.7014,96.3329
2004-02-08,1302603,24.6126,26.2186,28.7891,0.0416,0.5304,1.292,4.2431,0.9965,0.998,1.0005,76.1469,87.9575,95.2765
2004-02-09,1302603,23.7166,26.758,30.8657,0.0,0.022,0.0766,0.176,0.9951,0.9984,1.0005,63.4293,84.6597,97.5146
2004-02-10,1302603,24.9692,28.0222,31.8164,0.0,0.0276,0.1388,0.221,0.9938,0.9969,0.9985,59.4375,79.2153,94.815
2004-02-11,1302603,25.0753,27.6732,31.413,0.0,0.2304,0.9515,1.843,0.9948,0.9968,0.9987,64.082,80.3989,92.1716
2004-02-12,1302603,24.6905,26.1256,28.1565,0.0,1.0059,2.7044,8.0471,0.9962,0.9985,1.0012,83.3008,89.0507,94.3682
2004-02-13,1302603,24.134,26.0096,29.251,0.0,0.2939,0.8555,2.3512,0.9958,0.9989,1.0012,74.0789,87.2729,96.3673
2004-02-14,1302603,23.55,25.4455,29.0923,0.0128,0.695,1.6798,5.56,0.9953,0.9986,1.0012,78.6544,90.039,95.3294
2004-02-15,1302603,24.4059,26.0179,28.1944,0.0092,0.4455,1.4599,3.5642,0.9949,0.9982,1.0009,78.1622,89.2173,96.2462
2004-02-16,1302603,23.9309,25.7313,27.7154,0.1379,0.4372,0.8083,3.4973,0.9957,0.9985,1.0012,82.2238,90.2958,95.8342
2004-02-17,1302603,24.1257,25.8951,28.7493,0.0001,0.3061,2.071,2.4488,0.9963,0.9986,1.0016,76.9194,90.1166,97.1878
2004-02-18,1302603,23.538,25.5759,28.4441,0.0001,0.6152,2.8277,4.9216,0.9965,0.9988,1.001,84.6291,91.7553,97.9683
2004-02-19,1302603,23.844,25.34,27.8432,0.4051,0.8139,1.2326,6.5115,0.9957,0.9984,1.0005,82.5904,91.0157,97.679
2004-02-20,1302603,24.273,26.3861,30.0113,0.0437,0.3901,0.7954,3.121,0.994,0.997,0.9991,73.7936,88.041,97.0527
2004-02-21,1302603,24.9247,25.9435,27.1491,0.1079,0.394,0.797,3.1523,0.9961,0.9976,1.0003,82.7699,89.59,95.9337
2004-02-22,1302603,23.9377,25.6445,28.6398,0.0306,0.7648,1.318,6.1183,0.9973,0.9995,1.0017,81.1524,90.806,96.1409
2004-02-23,1302603,23.9629,25.7763,27.7364,0.0062,0.2732,1.2803,2.1854,0.9959,0.9991,1.0014,84.287,90.4346,96.1339
2004-02-24,1302603,24.0412,25.4368,28.6792,0.3242,0.949,1.6386,7.5923,0.9949,0.9978,0.9999,78.1007,90.1095,95.3853
2004-02-25,1302603,24.161,25.9176,28.8673,0.0031,0.5412,2.4259,4.3298,0.9953,0.9974,1.0,79.2747,89.1593,96.1186
2004-02-26,1302603,23.8788,26.6262,30.0761,0.0002,0.0879,0.2748,0.703,0.9958,0.9987,1.002,71.11,85.3772,95.4489
2004-02-27,1302603,24.583,27.0241,30.2775,0.0011,0.7934,4.2157,6.3471,0.9957,0.9988,1.0014,74.5743,86.4175,94.2465
2004-02-28,1302603,24.5417,26.4243,29.7208,0.0066,1.0135,4.606,8.1077,0.9949,0.9976,0.9995,74.1995,87.9088,95.526
2004-02-29,1302603,23.6752,26.1247,29.5897,0.0,0.3132,2.0471,2.5053,0.9945,0.9971,1.0003,71.8276,87.2268,97.0631
2004-03-01,1302603,24.657,27.3124,31.8089,0.0,0.0386,0.2354,0.3085,0.9944,0.9972,0.9999,65.1026,84.9376,96.9085
2004-03-02,1302603,25.0531,26.8291,29.5756,0.0,0.4631,3.1115,3.7045,0.9953,0.9977,1.0003,74.5266,86.6812,93.734
2004-03-03,1302603,24.6572,26.8089,30.8657,0.0256,0.5198,1.2996,4.1584,0.9935,0.9973,0.9998,71.6422,87.1208,95.1827
2004-03-04,1302603,23.6081,26.188,30.2358,0.0368,1.3554,4.0796,10.8433,0.9948,0.9975,1.0003,74.7006,88.4037,96.4183
2004-03-05,1302603,24.4463,26.3509,29.2765,0.0045,0.2401,1.5764,1.9207,0.996,0.9982,1.001,71.8122,86.5412,94.8557
2004-03-06,1302603,23.6015,25.1991,27.7875,0.1878,1.3736,3.031,10.989,0.9973,0.9991,1.0014,82.8315,91.3328,96.1511
2004-03-07,1302603,23.692,26.2092,30.1582,0.0296,0.3066,0.9509,2.4527,0.995,0.9987,1.001,75.8704,86.9306,95.4182
2004-03-08,1302603,24.3737,25.6639,27.7902,0.0919,1.0674,2.4132,8.5389,0.9969,0.9991,1.0014,81.9946,89.7042,93.6114
2004-03-09,1302603,23.6945,26.4677,31.498,0.0229,0.3039,1.3695,2.4312,0.9957,0.9989,1.0014,66.1872,86.4239,97.1444
2004-03-10,1302603,24.1954,26.8315,30.0258,0.0082,1.2967,5.8981,10.3736,0.9954,0.9986,1.0014,78.7076,87.7907,95.1131
2004-03-11,1302603,24.2896,26.7758,30.5686,0.0004,0.1681,0.4005,1.3446,0.9942,0.9977,0.9998,71.8121,87.5955,94.9823
2004-03-12,1302603,24.5293,26.718,29.9005,0.0048,0.6937,2.5748,5.5496,0.9939,0.9967,0.9994,73.2739,88.6993,96.0458
2004-03-13,1302603,24.5558,25.8159,27.8324,0.0004,1.5967,4.4656,12.7733,0.9945,0.9969,1.0003,86.1831,91.0984,94.3526
2004-03-14,1302603,24.5614,26.6937,30.2638,0.0,0.2254,0.5911,1.8033,0.9939,0.9976,0.9999,72.8417,87.4793,95.9283
2004-03-15,1302603,24.3905,26.7162,31.4726,0.0005,0.5713,1.9459,4.57,0.9931,0.9969,0.9993,72.1272,88.0775,96.655
2004-03-16,1302603,24.4908,26.9047,30.2823,0.0,0.3138,1.596,2.5107,0.9933,0.9963,0.9987,71.2341,86.043,94.8376
2004-03-17,1302603,24.7047,25.8199,28.0489,0.021,0.6798,3.277,5.4382,0.9943,0.9965,0.9991,83.8069,90.8419,95.5333
2004-03-18,1302603,24.1725,26.3684,29.9553,0.0055,0.0683,0.2439,0.5463,0.9928,0.9957,0.9978,68.8951,87.529,95.9741
2004-03-19,1302603,24.5024,26.3933,29.2796,0.0,1.0914,2.9855,8.7314,0.9932,0.9961,0.9989,78.8428,89.1237,94.9343
2004-03-20,1302603,24.7919,26.4743,28.864,0.0034,0.2526,0.9777,2.0208,0.9928,0.9958,0.9982,80.7321,89.193,95.9908
