Classe;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1. Supressão de Vegetação Primária;0;59153;57447;45269;30652;30640;44539;45251;49326;51819;63919;88932;111265;66560;61731;49456;69194;113153;95974;104880;101308;71119;58783;59198;73923;51520;52800;69675;70344;107533;161071;117064;106059;189630;175559;290592;326462;126689
1.1. Floresta;0;53922;51968;40706;28003;28165;41807;40728;44628;48293;59690;81826;102237;60974;57207;46885;66549;109747;92111;100731;97919;68083;55815;57163;71761;50150;51985;68450;69610;106492;159504;116247;105611;189217;175028;289646;312989;115883
1.1.1. Formação Florestal;0;37195;33620;27375;19141;19511;27020;26553;32180;36658;45169;60841;69083;43731;45997;39288;58006;99876;84642;90817;88342;62692;51434;49542;56793;42607;46224;60878;63751;95726;135492;104854;97907;179860;162609;259898;296670;99769
1.1.2. Formação Savânica;0;229;230;125;59;43;49;58;40;65;47;35;37;22;26;16;17;16;16;15;21;27;72;57;62;50;133;213;106;210;110;22;5;4;7;10;59;20
1.1.3. Mangue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1.4. Floresta Alagável (beta);0;16497;18117;13205;8801;8610;14737;14116;12406;11568;14473;20949;33116;17221;11183;7579;8525;9854;7452;9897;9555;5363;4309;7564;14906;7492;5627;7357;5752;10554;23901;11370;7698;9351;12412;29737;16260;16093
1.1.5. Restinga Arbórea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2. Formação Natural não Florestal;0;5230;5478;4562;2648;2474;2732;4522;4698;3526;4228;7105;9028;5585;4523;2571;2644;3406;3862;4149;3388;3035;2968;2034;2162;1370;815;1224;734;1041;1567;816;448;413;531;946;13472;10806
1.2.1. Campo Alagado e Área Pantanosa;0;3327;2984;2595;1453;1298;1933;3047;2692;2071;2471;3966;5162;2838;1676;1105;1467;2149;1934;2621;1016;953;808;727;1402;581;522;965;472;813;1340;628;338;327;468;776;7254;3765
1.2.2. Formação Campestre;0;1903;2494;1967;1194;1176;798;1475;2006;1454;1757;3138;3866;2746;2847;1466;1176;1257;1928;1526;2372;2082;2159;1307;759;788;293;259;261;228;226;187;110;86;62;169;6216;7039
1.2.3. Apicum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
