Classes;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1. Floresta;718;386;818;470;1.087;285;349;170;169;336;339;328;448;1.119;399;242;729;371;717;247;216;299;137;185;405;249;166;72;114;62;418;3.102;85;86;39;46;133;77;266
1.1. Formação Florestal;701;371;791;456;1.044;274;347;164;146;321;327;321;428;1.061;357;231;715;359;688;232;187;273;124;109;370;232;142;64;105;61;376;3.016;84;86;38;45;132;77;262
1.2. Formação Savânica;1;-;2;1;-;-;1;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.3. Mangue;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1.4. Floresta Alagável (beta);16;14;25;14;43;11;1;6;23;14;12;7;20;58;42;12;14;12;29;15;29;26;13;76;36;18;24;9;9;1;43;85;0;0;1;1;1;-;4
1.5. Restinga Arbórea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2. Formação Natural não Florestal;197;63;172;84;119;105;21;74;74;126;97;66;90;236;106;60;95;135;148;133;144;155;110;156;67;63;108;33;22;18;124;55;4;19;17;12;5;7;7
2.1. Campo Alagado e Área Pantanosa;112;35;77;47;59;73;4;39;51;53;40;11;57;188;76;22;57;98;119;90;89;117;83;133;51;46;100;25;3;14;96;32;2;1;7;3;2;0;4
2.2. Formação Campestre;85;28;94;37;60;31;17;36;24;72;56;54;33;48;29;38;38;37;29;43;54;38;28;23;15;17;8;8;18;4;29;23;3;18;9;9;3;7;3
2.3. Apicum;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2.4. Afloramento Rochoso;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2.5. Restinga Herbácea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2.6. Outras Formações não Florestais;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3. Agropecuária;1.087;616;1.558;632;1.313;807;454;380;295;457;562;484;608;1.740;690;461;785;533;928;335;556;337;258;217;506;484;204;130;198;93;573;2.705;252;307;294;497;346;331;722
3.1. Pastagem;1.087;616;1.558;632;1.313;807;454;380;295;457;562;484;608;1.740;690;461;785;533;928;335;550;336;213;212;463;484;204;127;198;93;573;2.705;252;307;294;496;346;328;722
3.2. Agricultura;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;45;6;43;-;-;3;-;-;-;-;-;-;-;2;-;3;-
3.2.1. Lavoura Temporária;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;45;6;43;-;-;3;-;-;-;-;-;-;-;2;-;3;-
3.2.1.1. Soja;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.2.1.2. Cana;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;45;6;43;-;-;3;-;-;-;-;-;-;-;-;-;-;-
3.2.1.3. Arroz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.2.1.4. Algodão (beta);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.2.1.5. Outras Lavouras Temporárias;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3;-
3.2.2. Lavoura Perene;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.2.2.1. Café;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.2.2.2. Citrus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.2.2.3. Dendê (beta);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.2.2.4. Outras Lavouras Perenes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.3. Silvicultura;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3.4. Mosaico de Usos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4. Área não Vegetada;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4.1. Praia, Duna e Areal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4.2. Área Urbanizada;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4.3. Mineração;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4.4. Outras Áreas não Vegetadas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5. Corpo D`água;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5.1. Rio, Lago e Oceano;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5.2. Aquicultura;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
6. Não observado;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
