Classes;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Janeiro;102;-;-;75;-;16;1;3;213;2;-;-;-;-;80;-;-;239;931;-;53;1;6;28;5;10;6;-;-;30;6;301;1;9;16;67;-;53;23
Fevereiro;500;7;524;183;-;-;-;-;5;17;-;3;-;1.283;17;3;5;9;107;248;32;32;169;1;-;7;3;-;-;6;14;550;10;72;1;3;-;-;-
Março;-;224;425;19;81;641;-;-;3;21;184;25;8;42;107;259;57;5;133;-;-;1;-;-;9;19;86;1;3;-;4;1.425;1;1;19;21;16;1;1
Abril;401;1;227;14;2;-;476;188;-;5;-;2;-;-;25;5;9;92;3;3;12;17;19;3;14;191;18;-;10;3;-;354;-;4;-;12;7;8;1
Maio;-;134;85;-;66;78;97;-;85;2;73;22;2;50;10;64;8;7;32;3;25;6;-;1;3;1;-;2;20;9;6;27;25;-;-;4;20;10;2
Junho;35;34;16;5;4;54;53;80;8;3;31;9;91;9;20;19;5;84;-;44;28;18;11;3;-;76;8;26;10;-;9;300;6;19;1;5;3;1;9
Julho;592;2;285;182;68;49;1;88;77;39;9;167;209;644;32;-;87;14;92;42;21;32;28;96;6;78;37;23;64;14;10;1.289;15;5;6;21;52;20;2
Agosto;107;253;410;10;147;95;15;10;46;60;180;112;127;99;46;60;93;107;35;70;249;76;40;249;27;145;208;10;23;6;35;178;89;45;61;83;105;42;154
Setembro;105;14;564;52;74;141;36;86;67;42;98;52;338;696;247;29;135;186;8;25;276;194;231;130;365;-;111;21;26;28;290;94;4;22;21;141;75;142;350
Outubro;14;220;-;464;1.605;55;2;77;1;629;242;83;363;200;216;149;324;165;125;209;218;285;-;2;107;155;2;9;122;17;212;770;114;136;18;177;26;83;333
Novembro;145;94;11;156;7;-;142;40;32;85;-;369;-;1;184;127;406;104;175;69;2;80;-;21;441;110;-;144;35;7;523;274;59;64;108;19;179;17;35
Dezembro;-;81;-;27;466;67;1;50;2;11;181;34;8;70;209;47;479;29;153;-;-;50;-;22;-;5;-;-;20;53;5;300;16;36;98;3;-;40;86
