year,month,area,uf,className,numPol
2021,7,1.11,AM,MINERACAO,14
2015,8,1.96,AM,MINERACAO,15
2021,9,2.16,AM,MINERACAO,14
2024,1,0.64,AM,MINERACAO,6
2024,10,0.09,AM,MINERACAO,1
2015,9,0.11,AM,MINERACAO,1
2023,7,5.03,AM,MINERACAO,39
2019,2,0.08,AM,MINERACAO,1
2020,9,1.76,AM,MINERACAO,16
2023,2,0.4,AM,MINERACAO,6
2024,9,0.33,AM,MINERACAO,4
2021,10,2.63,AM,MINERACAO,23
2019,4,0.42,AM,MINERACAO,6
2023,12,0.31,AM,MINERACAO,3
2020,10,0.3,AM,MINERACAO,4
2019,5,0.17,AM,MINERACAO,2
2016,6,0.16,AM,MINERACAO,2
2020,11,0.07,AM,MINERACAO,1
2019,6,0.62,AM,MINERACAO,6
2024,8,0.7,AM,MINERACAO,7
2016,8,0.11,AM,MINERACAO,1
2019,7,2.12,AM,MINERACAO,13
2023,11,0.27,AM,MINERACAO,3
2021,12,0.18,AM,MINERACAO,2
2016,9,0.17,AM,MINERACAO,2
2020,12,0.13,AM,MINERACAO,1
2016,10,0.1,AM,MINERACAO,1
2019,8,0,AM,MINERACAO,1
2021,2,0.38,AM,MINERACAO,4
2024,7,2.41,AM,MINERACAO,25
2023,6,3.04,AM,MINERACAO,31
2022,7,1.91,AM,MINERACAO,18
2019,9,0.26,AM,MINERACAO,3
2017,5,0.23,AM,MINERACAO,2
2017,6,0.12,AM,MINERACAO,1
2019,10,0.07,AM,MINERACAO,1
2021,4,0.94,AM,MINERACAO,9
2022,1,0.34,AM,MINERACAO,3
2019,11,0.11,AM,MINERACAO,1
2024,6,3.71,AM,MINERACAO,31
2023,10,1.33,AM,MINERACAO,10
2017,10,0.07,AM,MINERACAO,1
2017,11,0.2,AM,MINERACAO,2
2021,5,0.92,AM,MINERACAO,11
2017,12,0.07,AM,MINERACAO,1
2023,3,2.18,AM,MINERACAO,15
2022,11,0.35,AM,MINERACAO,4
2024,5,1.28,AM,MINERACAO,13
2018,1,0.17,AM,MINERACAO,1
2018,2,0.18,AM,MINERACAO,2
2020,2,0.12,AM,MINERACAO,3
2022,4,0.42,AM,MINERACAO,7
2023,9,10.91,AM,MINERACAO,81
2020,3,1.06,AM,MINERACAO,11
2021,6,0.59,AM,MINERACAO,6
2018,4,0.09,AM,MINERACAO,1
2024,4,0.11,AM,MINERACAO,1
2020,4,0.07,AM,MINERACAO,1
2023,5,0.52,AM,MINERACAO,7
2018,5,1,AM,MINERACAO,8
2020,5,1.14,AM,MINERACAO,10
2018,6,0.65,AM,MINERACAO,7
2018,7,0.08,AM,MINERACAO,1
2022,5,0.4,AM,MINERACAO,5
2020,6,1.19,AM,MINERACAO,13
2022,12,0.63,AM,MINERACAO,7
2023,8,3.45,AM,MINERACAO,27
2022,10,0.14,AM,MINERACAO,2
2020,7,0.38,AM,MINERACAO,5
2018,9,2.04,AM,MINERACAO,18
2022,8,1.24,AM,MINERACAO,13
2024,2,0.33,AM,MINERACAO,3
2021,8,4.14,AM,MINERACAO,41
2023,1,0.22,AM,MINERACAO,2
2023,4,0.96,AM,MINERACAO,8
2022,6,3.99,AM,MINERACAO,22
2020,8,1.36,AM,MINERACAO,13
2015,9,0.82,AM,DESMATAMENTO_VEG,6
2015,10,1.15,AM,DESMATAMENTO_VEG,6
2015,11,0.46,AM,DESMATAMENTO_VEG,4
2016,1,1.75,AM,DESMATAMENTO_VEG,18
2016,2,0.82,AM,DESMATAMENTO_VEG,5
2016,3,0.46,AM,DESMATAMENTO_VEG,5
2016,4,1.57,AM,DESMATAMENTO_VEG,6
2016,5,1.93,AM,DESMATAMENTO_VEG,15
2016,6,4.84,AM,DESMATAMENTO_VEG,34
2024,8,0.07,AM,DESMATAMENTO_VEG,1
2016,7,1.21,AM,DESMATAMENTO_VEG,8
2016,8,0.72,AM,DESMATAMENTO_VEG,5
2016,9,0.35,AM,DESMATAMENTO_VEG,4
2016,10,0.18,AM,DESMATAMENTO_VEG,1
2024,7,2.65,AM,DESMATAMENTO_VEG,27
2017,5,2.18,AM,DESMATAMENTO_VEG,3
2017,6,4.98,AM,DESMATAMENTO_VEG,21
2017,7,1.41,AM,DESMATAMENTO_VEG,7
2024,6,5.96,AM,DESMATAMENTO_VEG,40
2017,10,0.48,AM,DESMATAMENTO_VEG,6
2017,11,0.44,AM,DESMATAMENTO_VEG,4
2017,12,1.09,AM,DESMATAMENTO_VEG,12
2024,5,8.73,AM,DESMATAMENTO_VEG,52
2018,1,0.88,AM,DESMATAMENTO_VEG,6
2018,3,6.94,AM,DESMATAMENTO_VEG,20
2015,8,3.28,AM,DESMATAMENTO_VEG,32
2018,4,8.01,AM,DESMATAMENTO_VEG,30
2024,4,0.79,AM,DESMATAMENTO_VEG,3
2018,5,4.72,AM,DESMATAMENTO_VEG,21
2022,12,0.29,AM,DESMATAMENTO_VEG,3
2018,6,7.66,AM,DESMATAMENTO_VEG,62
2024,3,3.77,AM,DESMATAMENTO_VEG,37
2018,7,6.26,AM,DESMATAMENTO_VEG,55
2018,8,4.64,AM,DESMATAMENTO_VEG,52
2018,9,6.18,AM,DESMATAMENTO_VEG,65
2024,2,3.99,AM,DESMATAMENTO_VEG,45
2018,10,2.73,AM,DESMATAMENTO_VEG,31
2018,11,2.24,AM,DESMATAMENTO_VEG,12
2019,1,3.48,AM,DESMATAMENTO_VEG,34
2024,1,6.3,AM,DESMATAMENTO_VEG,70
2019,2,2.58,AM,DESMATAMENTO_VEG,26
2019,3,3.69,AM,DESMATAMENTO_VEG,30
2019,4,4.85,AM,DESMATAMENTO_VEG,29
2023,12,0.18,AM,DESMATAMENTO_VEG,2
2019,5,11.99,AM,DESMATAMENTO_VEG,61
2019,6,6.67,AM,DESMATAMENTO_VEG,52
2019,7,18.49,AM,DESMATAMENTO_VEG,116
2023,11,0.24,AM,DESMATAMENTO_VEG,2
2019,8,7.56,AM,DESMATAMENTO_VEG,70
2019,11,1.93,AM,DESMATAMENTO_VEG,9
2023,10,0.08,AM,DESMATAMENTO_VEG,1
2019,12,1.47,AM,DESMATAMENTO_VEG,5
